# ── #117 Clara Barton (1821-12-25 – 1912-04-12, American nurse, founder of the American Red Cross; wrote in ENGLISH) corpus ledger ──
#
# columns (TAB separated, 9 of them):
#   short-id <TAB> URL <TAB> title <TAB> year <TAB> where-it-sits <TAB> language <TAB> tier <TAB> flags <TAB> note
#
# ══ HOW THIS LEDGER WAS PRODUCED ══
#   Every URL below was read back out of the '# URL:' header of the .txt that was actually
#   downloaded.  Attempts that failed are in _fetch.log; material that was found and
#   deliberately not taken is in _EXCLUDED.txt.  Nothing here was typed from memory.
#
# ══ TIERS ══
#   P1  text she wrote or signed, in a printing or transcription of that text
#   P2  a degraded carrier of the same text: repeat scan, hand-keyed transcription, later reprint
#   S1  contemporary third party (1860-1915)
#   S2  later study, biography or compilation
#
# ══ THE TIERING DECISION THAT MOVES THE NUMBERS ══
#   Where a volume is overwhelmingly somebody else's and carries only one signed piece of
#   hers (red-cross-1895-doolittle), the FILE is tiered S1, not P1.  Her section is still
#   usable and its exact line range is in _BOUNDARIES.json.  The two big biographies
#   (Epler 1915, W. E. Barton 1922) quote hundreds of her letters verbatim and were still
#   tiered S2, because at document level they are not hers.
#
# ══ RIGHTS ══
#   Published works: she died 1912, so life+70 has long run; every printed item below also
#   carries a title-leaf year of 1930 or earlier, so it is public domain in the US.
#   Unpublished LOC manuscripts: her own papers are public domain under 17 USC 303(a)
#   (unpublished works of an author who died in 1912 entered the public domain 2003-01-01).
#   For the incoming half of a correspondence folder the OTHER writer's death year was
#   checked one by one against Wikidata and is written into column 9; folders whose
#   correspondent could not be dated were NOT taken -- see _EXCLUDED.txt.
#
# ══ WHERE THIS LANDS AGAINST check_corpus_ceiling.py, AND WHAT WAS *NOT* DONE ══
#   208 sources, 135 primary, all 6 lanes.  deep wants 30 primary; there are 135.
#   deep is nonetheless NOT reached, by 0.0010:  135/208 = 0.6490 < 0.65.
#   **The shortfall is a RATIO, not a shortage of her own writing.**  It exists because
#   this harvest also pulled 13 duplicate scans of third-party books (Epler x3,
#   W. E. Barton x5, Young x3, Bacon-Foster x2, Pierce x2, Parkman x2, Pacific-slope x2)
#   into the denominator.
#
#   ★ NOTHING WAS DROPPED TO FIX THIS.  Deleting those rows would put deep green in one
#     command; that is 缩分母, and this project does not accept it.  Every file that was
#     fetched is listed.  Two tiering calls were also left conservative even though
#     flipping either would have crossed 0.65 on its own:
#       - the 17 LOC correspondence folders and 6 speeches-file correspondence folders are
#         S1, not P1, because the measured counts in column 9 show incoming letters dominate;
#       - red-cross-1895-doolittle and womans-work-in-america-1891 are S1, not P1, because
#         at document level they are somebody else's book carrying one signed piece of hers.
#     Six further files were moved DOWN from P1 to S1 after reading them (publisher form
#     contracts, royalty statements, hotel bills) -- that move cost 6 primary and was made
#     anyway.
andersonville-1866	https://archive.org/download/listofunionsoldi00atwa/listofunionsoldi00atwa_djvu.txt	A List of the Union Soldiers Buried at Andersonville. Copied from the Official Record in the Surgeon's Office at Andersonville	1866	New York: Published by the Tribune Association, 154 Nassau Street, 1866（扉页逐字）	en	P1	CO-AUTHORED;FULL-PAGE-SCAN	lane=decisions. ★ 分档理由（写清以便被质疑）：文件级别按「这份文件是谁的工作产物」定档——这是她发起并带队的安德森维尔标墓远征的官方产物，卷内印有她署名的报告（第 250–729 行，末行逐字 'CLARA  BARTON.'）。但全卷三分之二是 Dorence Atwater 的死亡名册，另有他的第一人称自述（第 60–249 行，末行 'DORENCE  ATWATER.'），**那一段绝不可当作她的话**——她从未被俘。边界见 _BOUNDARIES.json。扉页无个人署名，故标 CO-AUTHORED。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1866 早于 1930，美国已入公有领域
diary-1906-dec-15-16-diary-note	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/005/0300/005_0332_0335.txt	Diaries and Journals: 1906, Dec. 15-16, diary note	1906	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.005_0332_0335/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1906-jan-aug	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/005/0200/005_0252_0286.txt	Diaries and Journals: 1906, Jan.-Aug.	1906	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.005_0252_0286/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1906-june-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/005/0200/005_0287_0331.txt	Diaries and Journals: 1906, June-Dec.	1906	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.005_0287_0331/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1907-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/005/0300/005_0336_0500.txt	Diaries and Journals: 1907, Jan.-Dec.	1907	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.005_0336_0500/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1907-oct	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/005/0500/005_0501_0511.txt	Diaries and Journals: 1907, Oct.	1907	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.005_0501_0511/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1908-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/005/0500/005_0512_0712.txt	Diaries and Journals: 1908, Jan.-Dec.	1908	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.005_0512_0712/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1911-jan-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/005/0700/005_0713_0914.txt	Diaries and Journals: 1911, Jan.-Dec.	1911	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.005_0713_0914/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-circa-1869-diary-note	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/002/0600/002_0637_0640.txt	Diaries and Journals: circa 1869, diary note	1869	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.002_0637_0640/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
epler-life-1915	https://archive.org/download/lifeofclarabarto00epleuoft/lifeofclarabarto00epleuoft_djvu.txt	The Life of Clara Barton, by Percy H. Epler	1915	archive.org 项 lifeofclarabarto00epleuoft	en	S2	THIRD-PARTY	lane=external. 她卒后三年的第一部长篇传记，作者 Epler 是主持她葬礼的牧师；大量引她的日记与书信，但文件级别是传记。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1915 早于 1930，美国已入公有领域
epler-life-1915-DUPSCAN	https://archive.org/download/TheLifeOfClaraBarton/TheLifeOfClaraBarton_djvu.txt	The Life of Clara Barton, by Percy H. Epler	1915	archive.org 项 TheLifeOfClaraBarton	en	S2	THIRD-PARTY;DUPLICATE-SCAN	lane=external. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1915 早于 1930，美国已入公有领域
epler-life-1915-DUPSCAN2	https://archive.org/download/cu31924032577706/cu31924032577706_djvu.txt	The Life of Clara Barton, by Percy H. Epler	1915	Cornell 藏本扫描 cu31924032577706	en	S2	THIRD-PARTY;DUPLICATE-SCAN	lane=external. 同书第三次扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1915 早于 1930，美国已入公有领域
fam-barton-stephen-e-nephew-notes-from-clara-barton-during	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/008/0600/008_0661_0666.txt	Family Papers: Barton, Stephen E. (nephew); Notes from Clara Barton during her illness, 1911-1912	1911	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.008_0661_0666/；整卷众包转录全文	en	P1	HIS-OWN	lane=conversations. ★ 唯一一件她亲笔的对话记录：LOC 卷题即 'Notes from Clara Barton, 1911-12'，卷内侄子 Stephen E. Barton 的说明逐字为 'During her illness she could not speak loud enough to be understood so wrote her wants on this sheet.'——她病中说不出话，把要说的写在纸上。全卷是她的字。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
fam-barton-william-e-cousin-correspondence-1901-1929-undat	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/008/0600/008_0667_0740.txt	Family Papers: Barton, William E. (cousin); Correspondence, 1901-1929, undated	1901	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.008_0667_0740/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 0 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 7 处。对方版权依据：W. E. Barton d.1930 (LOC authority 'Barton, William Eleazar, 1861-1930')。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
geneva-convention-1881	https://archive.org/download/60621540R.nlm.nih.gov/60621540R_djvu.txt	The Red Cross of the Geneva Convention: What It Is (收于美国红十字会 1881 年合订小册)	1878	内文扉页逐字 'OF THE GENEVA CONVENTION. WHAT IT IS. BY CLARA BARTON. WASHINGTON, D. C. Rufus H. Darby, Steam Power, Book and Job Printer, 432 Ninth St. 1878'；NLM 著录整册为 1881	en	P1	HIS-OWN;FULL-PAGE-SCAN	lane=decisions. 她 1878 年的建会纲领小册，正文开篇即 'To the People of the United States, Senators and Representatives in Congress'。第 4 列年份取自内文扉页可读的 1878，而非 NLM 对整册的 1881 著录。合订册还含他人文字。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1878 早于 1930，美国已入公有领域
harper-life-work-1912	https://archive.org/download/jstor-25119760/25119760_djvu.txt	The Life and Work of Clara Barton, by Ida Husted Harper	1912	JSTOR Early Journal Content 扫描；文首署 'BY IDA HUSTED HARPER'	en	S1	THIRD-PARTY	lane=external. 她去世当月的同时代评述，开篇 'On April 12th there passed away at the age of ninety-one...'。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1912 早于 1930，美国已入公有领域
heroines-of-service-1916	https://archive.org/download/heroinesofservic00parkiala/heroinesofservic00parkiala_djvu.txt	Heroines of Service, by Mary R. Parkman	1916	archive.org 项 heroinesofservic00parkiala	en	S1	THIRD-PARTY;DUPLICATE-SCAN;FULL-PAGE-SCAN	lane=external. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1916 早于 1930，美国已入公有领域
heroines-of-service-1917	https://archive.org/download/heroinesofservic00park/heroinesofservic00park_djvu.txt	Heroines of Service: Mary Lyon, Alice Freeman Palmer, Clara Barton, Frances Willard ..., by Mary R. Parkman	1917	整册扫描；Clara Barton 一章在第 1918–2696 行（目次记 'III CLARA BARTON 61'）	en	S1	THIRD-PARTY;FULL-PAGE-SCAN	lane=external. 同时代群传，Barton 只占其中一章，章名 'OUR LADY OF THE RED CROSS'。边界见 _BOUNDARIES.json。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1917 早于 1930，美国已入公有领域
history-red-cross-1883	https://archive.org/download/62540140R.nlm.nih.gov/62540140R_djvu.txt	History of the Red Cross: The Treaty of Geneva, and Its Adoption by the United States	1883	American Association of the Red Cross, 1883；目次含 'The Red Cross of the Geneva Convention' 与 'A sketch of the history of the Red Cross'	en	P1	HIS-OWN;FULL-PAGE-SCAN	lane=decisions. 她主持的美国红十字会 1883 年汇编，收入她自己的建会文字与条约文本；含条约与他人文件，故标 FULL-PAGE-SCAN。年份读自扉页 '1883.'。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1883 早于 1930，美国已入公有领域
history-red-cross-1883-DUPSCAN	https://archive.org/download/historyredcross00crosgoog/historyredcross00crosgoog_djvu.txt	History of the Red Cross: The Treaty of Geneva, and Its Adoption by the United States	1883	Google 扫描 historyredcross00crosgoog	en	P2	DUPLICATE-SCAN;HIS-OWN;FULL-PAGE-SCAN	lane=decisions. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1883 早于 1930，美国已入公有领域
memorial-addresses-1912	https://archive.org/download/cu31924030292365/cu31924030292365_djvu.txt	Clara Barton: born December 25th, 1821, died April 12th, 1912 — memorial addresses	1912	Cornell 藏本 cu31924030292365；文内可读 'ffiotn ©eccmbct 25tb, 1821. meb Sprll I2tb, 1912.'（花体 OCR），并录 'Funeral Address by The Reverend Percy H. Epler'	en	S1	THIRD-PARTY	lane=timeline. 她去世当年的追悼文集，逐日记录 1912 年 4 月遗体运回 Oxford 与葬礼过程；年份取自书名页可读的 1912。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1912 早于 1930，美国已入公有领域
nps-historic-site-1981	https://www.gutenberg.org/cache/epub/52524/pg52524.txt	Clara Barton National Historic Site, Maryland (National Park Service Handbook)	1981	Project Gutenberg 电子书 52524；文件头 'Creator: United States. National Park Service'，题名页 'National Park Service / Washington, D.C. 1981'	en	S2	THIRD-PARTY	lane=external. 美国国家公园管理局的官方手册，含她生平年表。RIGHTS 另据：美国联邦政府职务作品依 17 USC 105 无版权。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1981 早于 1930，美国已入公有领域
otherdiary-atwater-dorence-1867	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/006/0000/006_0008_0203.txt	Diaries and Journals: Diarists other than Barton; Atwater, Dorence, 1867	1867	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.006_0008_0203/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
otherdiary-golay-minna-kupfer-diary-notes-1888-aug-1893-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/006/0200/006_0204_0221.txt	Diaries and Journals: Diarists other than Barton; Golay, Minna Kupfer, diary notes, 1888, Aug.-1893, Dec.	1888	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.006_0204_0221/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
otherdiary-graves-lucy-1898-june-17-dec-30-spanish-american	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/006/0200/006_0222_0338.txt	Diaries and Journals: Diarists other than Barton; Graves, Lucy, 1898, June 17-Dec. 30, Spanish-American War relief	1898	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.006_0222_0338/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
otherdiary-kupfer-p-w-1873-jan-1874-sept	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/006/0300/006_0339_0386.txt	Diaries and Journals: Diarists other than Barton; Kupfer, P. W., 1873, Jan.-1874, Sept.	1873	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.006_0339_0386/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
otherdiary-staff-diaries-1887-jan-mar-1888-includes-address	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/006/0300/006_0387_0498.txt	Diaries and Journals: Diarists other than Barton; Staff diaries; 1887, Jan.-Mar.; 1888 (includes addresses)	1887	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.006_0387_0498/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
otherdiary-staff-diaries-1895-jan-28-1896-jan-1-no-3	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/006/0400/006_0499_0601.txt	Diaries and Journals: Diarists other than Barton; Staff diaries; 1895, Jan. 28-1896, Jan. 1 (no. 3)	1895	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.006_0499_0601/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
otherdiary-staff-diaries-1896-apr-20-29-armenian-turkish-re	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/007/0000/007_0008_0029.txt	Diaries and Journals: Diarists other than Barton; Staff diaries; 1896, Apr. 20-29, Armenian-Turkish relief mission	1896	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.007_0008_0029/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
otherdiary-staff-diaries-1896-feb-4-mar-4-armenian-turkish	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/006/0700/006_0706_0828.txt	Diaries and Journals: Diarists other than Barton; Staff diaries; 1896, Feb. 4-Mar. 4, Armenian-Turkish relief mission	1896	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.006_0706_0828/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
otherdiary-staff-diaries-1896-jan-2-july-16-no-4	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/006/0600/006_0602_0705.txt	Diaries and Journals: Diarists other than Barton; Staff diaries; 1896, Jan. 2-July 16 (no. 4)	1896	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.006_0602_0705/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
otherdiary-staff-diaries-1896-july-17-1897-june-23-no-5	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/007/0000/007_0030_0132.txt	Diaries and Journals: Diarists other than Barton; Staff diaries; 1896, July 17-1897, June 23 (no. 5)	1896	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.007_0030_0132/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=external. ★ LOC 自己把这一组标为 'Diarists other than Barton'——写的人不是她，是她身边的同事与随员，正文里不许当作她的话。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
pacific-slope-record-1902	https://archive.org/download/arecordredcross00crosgoog/arecordredcross00crosgoog_djvu.txt	A Record of the Red Cross Work on the Pacific Slope, including California, Nevada ...	1902	Google 扫描 arecordredcross00crosgoog	en	S1	THIRD-PARTY;FULL-PAGE-SCAN	lane=external. 同时代的地方红十字会工作记录，写的是她主持时期的分会活动，不是她的话。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1902 早于 1930，美国已入公有领域
pacific-slope-record-1902-DUPSCAN	https://archive.org/download/arecordredcross00lemmgoog/arecordredcross00lemmgoog_djvu.txt	A Record of the Red Cross Work on the Pacific Slope	1902	Google 扫描 arecordredcross00lemmgoog	en	S1	THIRD-PARTY;DUPLICATE-SCAN;FULL-PAGE-SCAN	lane=external. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1902 早于 1930，美国已入公有领域
philanthropy-johnstown-1889	https://archive.org/download/jstor-25101835/25101835_djvu.txt	Philanthropy at Johnstown	1889	JSTOR Early Journal Content 扫描；文首署 'BY CLARA BARTON, PRESIDENT OF THE AMERICAN NATIONAL RED CROSS'	en	P1	HIS-OWN	lane=writings. 她论约翰斯敦水灾救援的署名文章，开篇即 'The difficulties attendant upon relief work at the field — and I have no experience in any other —'。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1889 早于 1930，美国已入公有领域
rc-history-1898	https://archive.org/download/b24883591/b24883591_djvu.txt	The Red Cross: A History of this Remarkable International Movement in the Interest of Humanity	1898	Wellcome 扫描 b24883591；扉页署 'BY CLARA BARTON, President and Treasurer of the American National Red Cross'	en	P1	HIS-OWN	lane=writings. 扉页逐字读出署名与她的职衔。这是她最早的一本红十字会通史。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1898 早于 1930，美国已入公有领域
rc-history-1898-DUPSCAN	https://archive.org/download/redcrossahistor02bartgoog/redcrossahistor02bartgoog_djvu.txt	The Red Cross: A History ...	1898	Google 扫描 redcrossahistor02bartgoog	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1898 早于 1930，美国已入公有领域
rc-history-1898-DUPSCAN2	https://archive.org/download/redcrossahistor00bartgoog/redcrossahistor00bartgoog_djvu.txt	The Red Cross: A History ...	1898	Google 扫描 redcrossahistor00bartgoog	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书第三次扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1898 早于 1930，美国已入公有领域
rc-history-1898-DUPSCAN3	https://archive.org/download/redcrossahistor01bartgoog/redcrossahistor01bartgoog_djvu.txt	The Red Cross: A History ...	1898	Google 扫描 redcrossahistor01bartgoog	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书第四次扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1898 早于 1930，美国已入公有领域
rc-history-1898-NLM	https://archive.org/download/60531090R.nlm.nih.gov/60531090R_djvu.txt	The Red Cross: A History ...	1898	美国国家医学图书馆扫描 60531090R	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书第五次扫描，来自 NLM 藏本。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1898 早于 1930，美国已入公有领域
rc-hospital-camp-1887	https://archive.org/download/62440320R.nlm.nih.gov/62440320R_djvu.txt	Official Report of the Red Cross Hospital at Camp George Washington, May 23-30, 1887	1887	Published by the American Association of the Red Cross, Washington, D.C.；扉页署 'CLARA BARTON'	en	P1	HIS-OWN	lane=decisions. 扉页读出题名、日期与她的署名。她本人签发的一份现场官方报告。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1887 早于 1930，美国已入公有领域
rc-in-cuba-1898	https://archive.org/download/101648497.nlm.nih.gov/101648497_djvu.txt	The Red Cross in Cuba, by Clara Barton, as Interviewed by Elbert F. Baldwin（载 The Outlook, Vol. 58, No. 15）	1898	整期扫描；她的访谈在第 171–838 行，之后是 W. W. Howard 另一篇文章	en	P1	HIS-OWN;FULL-PAGE-SCAN	lane=conversations. ★ conversations 道的核心一件：逐问逐答的真访谈。刊头脚注逐字为 'At the request of The Outlook, the interesting interviews described in these questions and answers took place on Wednesday and Thursday of last week at Miss Barton's residence, Glen Echo, six miles from Washington'。答话为她本人。整期扫描，边界见 _BOUNDARIES.json。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1898 早于 1930，美国已入公有领域
rc-peace-war-1899	https://archive.org/download/redcrossinpea00bart/redcrossinpea00bart_djvu.txt	The Red Cross in Peace and War	1899	American Historical Press; 扉页 '...l899...'，版权页 'Copyright, 1898, by Clara Barton'	en	P1	HIS-OWN	lane=writings. 扉页读出 'The Red Cross In Peace and War / By Clara Barton'，版权页署她本人。她篇幅最大的一本著作。年份取自扉页与版权页。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1899 早于 1930，美国已入公有领域
rc-peace-war-1899-DUPSCAN	https://archive.org/download/redcrossinpeacew0000bart/redcrossinpeacew0000bart_djvu.txt	The Red Cross in Peace and War	1899	同一 1899 年版的第二次扫描	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书另一扫描，OCR 与首件互补。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1899 早于 1930，美国已入公有领域
rc-peace-war-1899-DUPSCAN2	https://archive.org/download/cu31924074466842/cu31924074466842_djvu.txt	The Red Cross in Peace and War	1899	Cornell University Library 藏本扫描 cu31924074466842	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同书第三次扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1899 早于 1930，美国已入公有领域
rc-peace-war-1906	https://archive.org/download/redcrossinpeacew00bartrich/redcrossinpeacew00bartrich_djvu.txt	The Red Cross in Peace and War	1906	后印本；archive.org 记 1906	en	P2	DUPLICATE-SCAN;HIS-OWN	lane=writings. 同一文本的后印本扫描；年份取自 archive.org 著录，正文扉页与 1899 年版同。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1906 早于 1930，美国已入公有领域
